Day,Temp,Rain,Ripe,Order,Peak,Harvest,Cold_ton,Actual_Cont40,Actual_Rem_ton,Actual_Truck5,Actual_Total_Vehicles,Price_Cont40,Price_Truck5,Pred_T7,Pred_T3,Pred_T1,Pred_Cold_ton,Frost_Cont40,Frost_Rem_ton,Frost_Truck5,Frost_Total_Vehicles,L1_Cont40,L2_Plan_Cont40,L2_Run_Cont40,L2_Penalty,L3_Spot_Cont40,Truck5_Run,Total_Cont40_Run,Total_Vehicles_Run,Baseline_Cont40,Baseline_Err,Baseline_C_over,Baseline_C_under,Baseline_Risk_Total,Frost_Err,Frost_C_over,Frost_C_under,Frost_Risk_Total
Ngày 54 (23/06),33.4,0.0,0.88,644.9,0,650.1,520.08,30,1.68,1,31,9000000,3500000,312.4,557.3,550.5,440.4,25,8.4,2,27,18,5,5,0.0,7,1,30,31,26.333333333333332,3.666666666666668,0.0,22000000.000000007,22000000.000000007,0,0,0,0.0
Ngày 55 (24/06),33.9,0.0,0.9,610.8,0,599.7,479.76,27,13.2,3,30,9000000,3500000,312.4,590.9,584.2,467.36,27,0.8,1,28,19,6,6,0.0,2,3,27,30,31.0,4.0,10800000.0,0.0,10800000.0,0,0,0,0.0
Ngày 56 (25/06),30.0,65.0,0.92,750.9,1,169.3,143.9,8,5.66,2,10,11700000,4550000,312.4,283.4,300.7,255.59,14,13.67,3,17,10,3,0,7020000.000000001,0,2,10,12,29.333333333333332,21.333333333333332,57600000.0,0.0,57600000.0,2,5400000,0,12420000.0
Ngày 57 (26/06),33.8,0.0,0.93,670.0,1,688.2,584.97,33,14.73,4,37,11700000,4550000,312.4,593.0,612.4,520.54,30,2.14,1,31,21,6,6,0.0,6,4,33,37,21.666666666666668,11.333333333333332,0.0,68000000.0,68000000.0,0,0,0,0.0
Ngày 58 (27/06),35.1,0.0,0.95,632.4,0,613.4,490.72,28,6.88,2,30,11700000,4550000,312.4,665.3,658.7,526.96,30,8.56,2,32,21,6,6,0.0,1,2,28,30,22.666666666666668,5.333333333333332,0.0,31999999.999999993,31999999.999999993,0,0,0,0.0
Ngày 59 (28/06),37.2,0.0,0.97,527.4,0,660.6,528.48,30,10.08,3,33,11700000,4550000,312.4,776.4,769.9,615.92,35,11.12,3,38,24,7,7,0.0,0,3,31,34,23.0,7.0,0.0,42000000.0,42000000.0,1,2700000,0,2700000.0
Ngày 60 (29/06),34.5,0.0,0.98,598.6,0,579.4,463.52,26,14.24,3,29,11700000,4550000,312.4,643.1,636.5,509.2,29,8.08,2,31,20,6,6,0.0,0,3,26,29,30.333333333333332,4.333333333333332,11699999.999999996,0.0,11699999.999999996,0,0,0,0.0
Ngày 61 (30/06),34.5,0.0,1.0,560.6,0,549.7,439.76,25,7.76,2,27,11700000,4550000,312.4,652.5,645.9,516.72,29,15.6,4,33,20,6,6,0.0,0,2,26,28,28.0,3.0,8100000.0,0.0,8100000.0,1,2700000,0,2700000.0
Ngày 62 (01/07),30.2,0.0,1.0,371.7,0,374.8,299.84,17,6.08,2,19,9000000,3500000,312.4,429.9,423.1,338.48,19,10.16,3,22,13,4,4,0.0,0,2,17,19,27.0,10.0,27000000.0,0.0,27000000.0,0,0,0,0.0
Ngày 63 (02/07),30.5,0.0,1.0,357.6,1,383.8,326.23,18,15.19,4,22,11700000,4550000,312.4,430.3,449.6,382.16,22,2.0,1,23,15,5,5,0.0,0,4,20,24,22.666666666666668,4.666666666666668,12600000.000000004,0.0,12600000.000000004,2,5400000,0,5400000.0
Ngày 64 (03/07),29.3,25.0,1.0,314.7,1,283.2,240.72,13,16.08,4,17,11700000,4550000,312.4,308.8,327.2,278.12,16,1.64,1,17,11,4,0,9360000.0,2,4,13,17,20.0,7.0,18900000.0,0.0,18900000.0,0,0,0,9360000.0
Ngày 65 (04/07),32.5,0.0,1.0,371.6,0,333.8,267.04,15,7.84,2,17,9000000,3500000,312.4,498.9,491.9,393.52,22,13.36,3,25,15,5,5,0.0,0,2,20,22,16.0,1.0,2700000.0,0.0,2700000.0,5,13500000,0,13500000.0
Ngày 66 (05/07),29.4,0.0,1.0,307.5,0,321.5,257.2,14,15.28,4,18,9000000,3500000,312.4,334.5,327.3,261.84,15,2.64,1,16,10,3,3,0.0,1,4,14,18,15.333333333333334,1.333333333333334,3600000.0000000014,0.0,3600000.0000000014,0,0,0,0.0
Ngày 67 (06/07),27.5,75.0,1.0,339.7,0,146.3,117.04,6,13.36,3,9,9000000,3500000,312.4,80.8,71.1,56.88,3,5.04,2,5,2,1,0,1800000.0,4,3,6,9,14.0,8.0,21600000.0,0.0,21600000.0,0,0,0,1800000.0
Ngày 68 (07/07),28.1,0.0,1.0,245.3,0,277.4,221.92,12,14.56,4,16,9000000,3500000,312.4,243.2,235.8,188.64,10,15.84,4,14,7,2,2,0.0,3,4,12,16,11.666666666666666,0.3333333333333339,0.0,2000000.0000000035,2000000.0000000035,0,0,0,0.0
Ngày 69 (08/07),28.6,0.0,1.0,242.4,0,266.9,213.52,12,6.16,2,14,9000000,3500000,312.4,253.2,245.8,196.64,11,6.56,2,13,8,3,3,0.0,1,2,12,14,10.666666666666666,1.333333333333334,0.0,8000000.000000004,8000000.000000004,0,0,0,0.0
Ngày 70 (09/07),31.1,0.0,1.0,260.7,1,298.0,253.3,14,11.38,3,17,11700000,4550000,312.4,360.2,378.9,322.06,18,11.02,3,21,13,4,4,0.0,0,3,17,20,10.0,4.0,0.0,24000000.0,24000000.0,3,8100000,0,8100000.0
Ngày 71 (10/07),29.0,15.0,1.0,284.8,1,270.1,229.58,13,4.94,2,15,11700000,4550000,312.4,214.8,232.9,197.96,11,7.88,2,13,8,3,3,0.0,2,2,13,15,12.666666666666666,0.3333333333333339,0.0,2000000.0000000035,2000000.0000000035,0,0,0,0.0
Ngày 72 (11/07),32.2,0.0,1.0,235.6,0,235.9,188.72,10,15.92,4,14,9000000,3500000,312.4,385.2,377.6,302.08,17,8.32,2,19,12,4,4,0.0,0,4,16,20,13.0,3.0,8100000.0,0.0,8100000.0,6,16200000,0,16200000.0
Ngày 73 (12/07),29.1,0.0,1.0,215.4,0,223.7,178.96,10,6.16,2,12,9000000,3500000,312.4,220.8,213.0,170.4,9,14.88,4,13,6,2,2,0.0,2,2,10,12,12.333333333333334,2.333333333333334,6300000.000000002,0.0,6300000.000000002,0,0,0,0.0
Ngày 74 (13/07),31.1,0.0,1.0,199.4,0,203.3,162.64,9,7.12,2,11,9000000,3500000,312.4,303.5,295.8,236.64,13,12.0,3,16,9,3,3,0.0,0,2,12,14,11.0,2.0,5400000.0,0.0,5400000.0,3,8100000,0,8100000.0
Ngày 75 (14/07),27.5,60.0,1.0,202.3,0,86.9,69.52,4,0.4,1,5,9000000,3500000,312.4,-3.1,-12.9,-10.32,-1,6.96,2,1,-1,0,0,0.0,5,1,4,5,9.666666666666666,5.666666666666666,15299999.999999998,0.0,15299999.999999998,0,0,0,0.0
Ngày 76 (15/07),29.2,0.0,1.0,179.2,0,180.8,144.64,8,6.4,2,10,9000000,3500000,312.4,183.1,175.1,140.08,8,1.84,1,9,6,2,2,0.0,0,2,8,10,7.666666666666667,0.33333333333333304,0.0,1999999.9999999981,1999999.9999999981,0,0,0,0.0
Ngày 77 (16/07),29.9,0.0,1.0,194.9,1,198.5,168.72,9,13.2,3,12,11700000,4550000,312.4,202.9,221.0,187.85,10,15.05,4,14,7,2,2,0.0,0,3,9,12,7.0,2.0,0.0,12000000.0,12000000.0,0,0,0,0.0
Ngày 78 (17/07),28.7,15.0,1.0,161.9,1,187.0,158.95,9,3.43,1,10,11700000,4550000,312.4,101.1,118.6,100.81,5,14.41,4,9,4,1,1,0.0,4,1,9,10,7.0,2.0,0.0,12000000.0,12000000.0,0,0,0,0.0
Ngày 79 (18/07),32.7,0.0,1.0,129.6,0,156.3,125.04,7,4.08,1,8,9000000,3500000,312.4,310.2,302.1,241.68,13,17.04,4,17,9,3,3,0.0,0,1,12,13,8.666666666666666,1.666666666666666,4499999.999999998,0.0,4499999.999999998,5,13500000,0,13500000.0
Ngày 80 (19/07),33.0,0.0,1.0,115.8,0,133.5,106.8,6,3.12,1,7,9000000,3500000,312.4,310.6,302.4,241.92,13,17.28,4,17,9,3,3,0.0,0,1,12,13,8.333333333333334,2.333333333333334,6300000.000000002,0.0,6300000.000000002,6,16200000,0,16200000.0
Ngày 81 (20/07),31.9,0.0,1.0,132.0,0,129.1,103.28,5,16.88,4,9,9000000,3500000,312.4,243.1,234.8,187.84,10,15.04,4,14,7,2,2,0.0,0,4,9,13,7.333333333333333,2.333333333333333,6299999.999999999,0.0,6299999.999999999,4,10800000,0,10800000.0
Ngày 82 (21/07),27.5,40.0,1.0,116.6,0,59.4,47.52,2,12.96,3,5,9000000,3500000,312.4,-62.9,-72.7,-58.16,-4,10.96,3,-1,-3,0,0,0.0,5,3,2,5,6.0,4.0,10800000.0,0.0,10800000.0,0,0,0,0.0
Ngày 83 (22/07),30.9,0.0,1.0,83.1,0,102.4,81.92,4,12.8,3,7,9000000,3500000,312.4,166.3,157.8,126.24,7,5.28,2,9,5,2,2,0.0,0,3,7,10,4.333333333333333,0.33333333333333304,899999.9999999992,0.0,899999.9999999992,3,8100000,0,8100000.0
Ngày 84 (23/07),30.6,0.0,1.0,102.1,1,116.0,98.6,5,12.2,3,8,11700000,4550000,312.4,137.6,155.2,131.92,7,10.96,3,10,5,2,2,0.0,0,3,7,10,3.6666666666666665,1.3333333333333335,0.0,8000000.000000001,8000000.000000001,2,5400000,0,5400000.0
Ngày 85 (24/07),31.2,0.0,1.0,86.4,1,97.0,82.45,4,13.33,3,7,11700000,4550000,312.4,152.5,170.1,144.58,8,6.34,2,10,6,2,2,0.0,0,3,8,11,3.6666666666666665,0.3333333333333335,0.0,2000000.000000001,2000000.000000001,4,10800000,0,10800000.0
Ngày 86 (25/07),30.2,25.0,1.0,60.2,0,42.4,33.92,1,16.64,4,5,9000000,3500000,312.4,40.7,31.2,24.96,1,7.68,2,3,1,0,0,0.0,0,4,1,5,4.333333333333333,3.333333333333333,9000000.0,0.0,9000000.0,0,0,0,0.0
Ngày 87 (26/07),30.1,0.0,1.0,44.2,0,55.5,44.4,2,9.84,3,5,9000000,3500000,312.4,70.9,62.1,49.68,2,15.12,4,6,1,1,1,0.0,0,3,2,5,3.3333333333333335,1.3333333333333335,3600000.0000000005,0.0,3600000.0000000005,0,0,0,0.0
Ngày 88 (27/07),28.0,0.0,1.0,43.6,0,34.1,27.28,1,10.0,3,4,9000000,3500000,312.4,-45.0,-54.0,-43.2,-3,8.64,2,-1,-2,0,0,0.0,3,3,1,4,2.3333333333333335,1.3333333333333335,3600000.0000000005,0.0,3600000.0000000005,0,0,0,0.0
Ngày 89 (28/07),27.5,40.0,1.0,28.4,0,24.5,19.6,1,2.32,1,2,9000000,3500000,312.4,-162.1,-172.4,-137.92,-8,0.32,1,-7,-6,-1,0,-1800000.0,7,1,1,2,1.3333333333333333,0.33333333333333326,899999.9999999998,0.0,899999.9999999998,0,0,0,-1800000.0
Ngày 90 (29/07),29.6,0.0,1.0,23.4,0,23.1,18.48,1,1.2,1,2,9000000,3500000,312.4,4.2,-4.9,-3.92,-1,13.36,3,2,-1,0,0,0.0,2,1,1,2,1.3333333333333333,0.33333333333333326,899999.9999999998,0.0,899999.9999999998,0,0,0,0.0
Ngày 91 (30/07),31.6,0.0,1.0,38.6,1,15.0,12.75,0,12.75,3,3,11700000,4550000,312.4,86.9,104.0,88.4,5,2.0,1,6,4,1,1,0.0,0,3,5,8,1.0,1.0,2700000.0,0.0,2700000.0,5,13500000,0,13500000.0
Ngày 92 (31/07),29.8,0.0,1.0,30.6,1,15.0,12.75,0,12.75,3,3,11700000,4550000,312.4,-14.5,2.4,2.04,0,2.04,1,1,0,0,0,0.0,0,3,0,3,0.6666666666666666,0.6666666666666666,1800000.0,0.0,1800000.0,0,0,0,0.0
