THÁNG 6/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngày,Temp_t (°C),Rain_t (mm),Ripe_t (%),Order_t (Tấn),PeakDay_t (0/1),Sản lượng thu hoạch (Tấn),Sản lượng đi xe lạnh (Tấn),Nhiệt độ yêu cầu (°C),Số xe yêu cầu (4.8T),Dự báo T+7 (Tấn),Dự báo T+3 (Tấn),Dự báo T+1 (Tấn),Nhu cầu xe FrostLink (4.8T),Lớp 1 - Cam kết cứng (70%),Lớp 2 - Quyền chọn linh hoạt (20%),Trạng thái Lớp 2 (Hủy khi Mưa > 20mm),Lớp 2 - Thực chạy,Chi phí phạt cọc Lớp 2 (VNĐ),Lớp 3 - Giao ngay (Bù thực tế),Tổng số xe FrostLink thực chạy,Số xe sẵn có,Nhiệt độ xe sẵn có (°C),Thời gian tìm xe (Giờ),Giá chốt xe (VNĐ),Tỷ lệ hư hỏng (%),Baseline (Dự báo thủ công),Baseline - Sai số xe,Kiểm định nhiệt độ,Baseline - C_over (VNĐ),Baseline - C_under (VNĐ),Baseline - Tổng chi phí rủi ro (VNĐ),FrostLink - Sai số xe,FrostLink - C_over (VNĐ),FrostLink - C_under (VNĐ),FrostLink - Tổng chi phí rủi ro (VNĐ)
Ngày 13,38,0,88%,92,1,95,"80,8",2-4,17,95,96,96,17,12,3,Kích hoạt,3,0,2,17,9,2-4,22,4.800.000 đ,18%,"12,0","5,0",Hợp lệ,0 đ,22.500.000 đ,22.500.000 đ,0,0,0,0
Ngày 14,37,0,82%,80,0,85,"68,0",2-4,15,83,83,83,14,10,3,Kích hoạt,3,0,2,15,14,2-4,18,4.500.000 đ,15%,"13,7","1,3",Hợp lệ,0 đ,6.000.000 đ,6.000.000 đ,1,0,0,0
Ngày 15,33,0,75%,68,0,70,"56,0",2-4,12,71,71,70,12,8,2,Kích hoạt,2,0,2,12,15,2-4,14,4.000.000 đ,12%,"17,3","5,3",Hợp lệ,8.000.000 đ,0 đ,8.000.000 đ,0,0,0,0
Ngày 16,33,0,70%,62,0,65,"52,0",2-4,11,65,64,64,11,8,2,Kích hoạt,2,0,1,11,16,5-8 (Lỗi),12,3.800.000 đ,14%,"14,7","3,7",Loại,5.500.000 đ,0 đ,5.500.000 đ,0,0,0,0
Ngày 17,38,0,80%,78,0,80,"64,0",2-4,14,81,81,81,14,10,3,Kích hoạt,3,0,1,14,15,2-4,16,4.300.000 đ,15%,"12,7","1,3",Hợp lệ,0 đ,6.000.000 đ,6.000.000 đ,0,0,0,0
Ngày 18,34,0,78%,72,0,75,"60,0",2-4,13,75,75,75,13,9,3,Kích hoạt,3,0,1,13,15,2-4,14,4.200.000 đ,12%,"12,3","0,7",Hợp lệ,0 đ,3.000.000 đ,3.000.000 đ,0,0,0,0
Ngày 19,34,0,82%,82,1,85,"72,3",2-4,16,85,85,85,16,11,3,Kích hoạt,3,0,2,16,10,2-4,20,4.600.000 đ,16%,"12,7","3,3",Hợp lệ,0 đ,15.000.000 đ,15.000.000 đ,0,0,0,0
Ngày 20,29,20,65%,58,1,60,"51,0",2-4,11,61,60,61,11,8,2,Kích hoạt,2,0,1,11,11,2-4,8,3.800.000 đ,8%,"14,3","3,3",Hợp lệ,5.000.000 đ,0 đ,5.000.000 đ,0,0,0,0
Ngày 21,33,0,72%,68,0,70,"56,0",2-4,12,71,71,70,12,8,2,Kích hoạt,2,0,2,12,16,2-4,10,4.000.000 đ,10%,"13,3","1,3",Hợp lệ,2.000.000 đ,0 đ,2.000.000 đ,0,0,0,0
Ngày 22,38,0,82%,78,0,80,"64,0",2-4,14,81,81,81,14,10,3,Kích hoạt,3,0,1,14,15,2-4,14,4.300.000 đ,14%,"13,0","1,0",Hợp lệ,0 đ,4.500.000 đ,4.500.000 đ,0,0,0,0
Ngày 23,34,0,70%,64,0,65,"52,0",2-4,11,67,67,66,12,8,2,Kích hoạt,2,0,1,11,16,2-4,8,3.800.000 đ,8%,"12,3","1,3",Hợp lệ,2.000.000 đ,0 đ,2.000.000 đ,1,0,0,0
Ngày 24,33,0,58%,48,0,50,"40,0",2-4,9,50,50,50,9,6,2,Kích hoạt,2,0,1,9,15,2-4,4,3.500.000 đ,5%,"12,3","3,3",Hợp lệ,5.000.000 đ,0 đ,5.000.000 đ,0,0,0,0
Ngày 25,25,75,20%,14,0,15,"12,0",2-4,3,16,15,15,3,2,1,Hủy slot (Mưa > 20mm),0,150.000,1,3,16,2-4,1,3.000.000 đ,1%,"11,3","8,3",Hợp lệ,12.500.000 đ,0 đ,12.500.000 đ,0,0,0,150.000
Ngày 26,33,0,62%,52,1,55,"46,8",2-4,10,54,54,55,10,7,2,Kích hoạt,2,0,1,10,12,2-4,6,3.600.000 đ,6%,"7,7","2,3",Hợp lệ,0 đ,10.500.000 đ,10.500.000 đ,0,0,0,0
Ngày 27,32,0,48%,38,1,40,"34,0",2-4,8,40,40,40,8,6,2,Kích hoạt,2,0,0,8,12,2-4,3,3.200.000 đ,3%,"7,3","0,7",Hợp lệ,0 đ,3.000.000 đ,3.000.000 đ,0,0,0,0
Ngày 28,37,0,42%,34,0,35,"28,0",2-4,6,36,36,36,7,5,1,Kích hoạt,1,0,0,6,15,2-4,2,3.000.000 đ,2%,"7,0","1,0",Hợp lệ,1.500.000 đ,0 đ,1.500.000 đ,1,0,0,0
Ngày 29,32,0,32%,24,0,25,"20,0",2-4,5,26,26,26,5,4,1,Kích hoạt,1,0,0,5,15,2-4,1,3.000.000 đ,2%,"8,0","3,0",Hợp lệ,4.500.000 đ,0 đ,4.500.000 đ,0,0,0,0
Ngày 30,31,0,22%,14,0,15,"12,0",2-4,3,16,16,16,3,2,1,Kích hoạt,1,0,0,3,15,2-4,1,3.000.000 đ,1%,"6,3","3,3",Hợp lệ,5.000.000 đ,0 đ,5.000.000 đ,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BẢNG TỔNG HỢP KPI SO SÁNH HIỆU QUẢ: MÔ HÌNH NỀN (BASELINE) VS. MÔ HÌNH FROSTLINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chỉ số KPI Đánh giá,Mô hình nền (Baseline),Mô hình FrostLink (Đề xuất),Chênh lệch (Mức giảm),Tỷ lệ cải thiện (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sai số số xe trung bình (Truck MAE - Xe/ngày),"3,2","0,1666666667","299,38%","0,947265625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sai số phần trăm có trọng số (Truck WAPE),"0,3026004728","0,01700680272",0 đ,"0,9437978316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sai số sản lượng MAE (Tấn/ngày),"15,17037037","0,6966666667",14 đ,"0,9540771484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tổng chi phí thừa xe C_over (VNĐ),63.500.000 đ,0,63.500.000 đ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tổng chi phí thiếu xe C_under (VNĐ),193.500.000 đ,0,193.500.000 đ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chi phí phạt hủy cọc Lớp 2 (VNĐ),0,300.000,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TỔNG CHI PHÍ RỦI RO CHUỖI LẠNH (VNĐ),257.000.000 đ,300.000,256.700.000 đ,"0,9988326848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chỉ số KPI đánh giá,Mô hình nền (Baseline),Mô hình FrostLink (Đề xuất),Chênh lệch (Mức giảm),Tỷ lệ cải thiện (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,**Sai số số xe trung bình (Truck MAE)**,"3,16 xe/ngày","**0,17 xe/ngày**","-2,99 xe/ngày","**94,73%**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,**Sai số phần trăm trọng số (Truck WAPE)**,"30,26%","**1,70%**","-28,56%","**94,38%**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,**Sai số sản lượng MAE**,"15,17 tấn/ngày","**0,70 tấn/ngày**","-14,47 tấn/ngày","**95,41%**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,**Tổng chi phí thừa xe ($C\_{over}$)**,63.500.000 VNĐ,**0 VNĐ**,-63.500.000 VNĐ,**100%**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,**Tổng chi phí thiếu xe ($C\_{under}$)**,193.500.000 VNĐ,**0 VNĐ**,-193.500.000 VNĐ,**100%**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,**Chi phí phạt hủy cọc Lớp 2 (10%)**,0 VNĐ,300.000 VNĐ *(2 xe)*,+300.000 VNĐ,*(Bảo hiểm rủi ro)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,**TỔNG CHI PHÍ RỦI RO CHUỖI LẠNH**,**257.000.000 VNĐ**,**300.000 VNĐ**,**-256.700.000 VNĐ**,"**99,88%**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
