Day,Temp,Rain,Ripe,Order,Peak,Harvest,Cold_ton,Actual_trucks,Pred_T7,Pred_T3,Pred_T1,Demand_trucks,L1,L2_plan,L2_run,Price,L2_penalty,L3,Total_run,Baseline_pred,Baseline_err,Baseline_C_over,Baseline_C_under,Baseline_Risk_Total,Frost_err,Frost_C_over,Frost_C_under,Frost_Risk_Total
Ngày 14 (14/05),29.5,0.0,0.27,162.7,1,147.0,124.95,8,163.3,183.6,174.7,9,6,2,2,11700000,0.0,0,8,5.333333333333333,2.666666666666667,0.0,16000000.000000002,16000000.000000002,0,0,0,0.0
Ngày 15 (15/05),28.6,0.0,0.28,159.7,1,173.4,147.39,9,160.5,177.0,168.4,9,6,2,2,11700000,0.0,1,9,6.333333333333333,2.666666666666667,0.0,16000000.000000002,16000000.000000002,0,0,0,0.0
Ngày 16 (16/05),27.7,0.0,0.3,125.7,0,124.7,99.76,6,129.0,143.0,146.7,7,5,2,2,9000000,0.0,0,7,7.666666666666667,1.666666666666667,4500000.000000001,0.0,4500000.000000001,1,2700000,0,2700000.0
Ngày 17 (17/05),26.9,0.0,0.31,150.1,0,152.4,121.92,8,151.6,161.1,165.3,8,6,2,2,9000000,0.0,0,8,7.666666666666667,0.33333333333333304,0.0,1999999.9999999981,1999999.9999999981,0,0,0,0.0
Ngày 18 (18/05),28.5,10.0,0.32,158.8,0,167.6,134.08,8,159.6,132.2,135.7,7,5,2,2,9000000,0.0,1,8,7.666666666666667,0.33333333333333304,0.0,1999999.9999999981,1999999.9999999981,0,0,0,0.0
Ngày 19 (19/05),30.0,0.0,0.33,154.4,0,175.2,140.16,9,155.6,179.4,182.4,9,6,2,2,9000000,0.0,1,9,7.333333333333333,1.666666666666667,0.0,10000000.000000002,10000000.000000002,0,0,0,0.0
Ngày 20 (20/05),30.7,0.0,0.35,190.4,0,196.8,157.44,10,188.9,214.9,217.8,11,8,3,3,9000000,0.0,0,11,8.333333333333334,1.666666666666666,0.0,9999999.999999996,9999999.999999996,1,2700000,0,2700000.0
Ngày 21 (21/05),30.3,0.0,0.36,198.6,1,251.1,213.44,13,196.5,220.5,211.4,11,8,3,3,11700000,0.0,2,13,9.0,4.0,0.0,24000000.0,24000000.0,0,0,0,0.0
Ngày 22 (22/05),29.9,25.0,0.37,225.4,1,183.6,156.06,10,221.2,132.3,123.3,7,5,2,0,11700000,9360000.0,5,10,10.666666666666666,0.6666666666666661,1799999.9999999984,0.0,1799999.9999999984,0,0,0,9360000.0
Ngày 23 (23/05),30.4,0.0,0.38,217.2,0,219.0,175.2,11,213.7,237.7,240.9,12,8,3,3,9000000,0.0,0,11,11.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Ngày 24 (24/05),30.7,0.0,0.39,256.5,0,233.6,186.88,11,250.0,274.2,277.4,13,9,3,3,9000000,0.0,0,12,11.333333333333334,0.3333333333333339,900000.0000000016,0.0,900000.0000000016,1,2700000,0,2700000.0
Ngày 25 (25/05),29.2,0.0,0.41,260.0,0,246.4,197.12,12,253.2,270.7,274.6,13,9,3,3,9000000,0.0,0,12,10.666666666666666,1.333333333333334,0.0,8000000.000000004,8000000.000000004,0,0,0,0.0
Ngày 26 (26/05),30.2,0.0,0.42,263.6,0,287.2,229.76,14,256.6,278.6,282.1,14,10,3,3,9000000,0.0,1,14,11.333333333333334,2.666666666666666,0.0,15999999.999999996,15999999.999999996,0,0,0,0.0
Ngày 27 (27/05),29.4,0.0,0.43,243.7,0,293.9,235.12,14,238.2,257.4,261.2,13,9,3,3,9000000,0.0,2,14,12.333333333333334,1.666666666666666,0.0,9999999.999999996,9999999.999999996,0,0,0,0.0
Ngày 28 (28/05),31.0,15.0,0.44,283.6,1,317.5,269.88,16,275.1,234.2,225.2,12,8,3,3,11700000,0.0,5,16,13.333333333333334,2.666666666666666,0.0,15999999.999999996,15999999.999999996,0,0,0,0.0
Ngày 29 (29/05),30.2,0.0,0.46,356.2,1,340.5,289.42,17,342.2,361.5,353.3,18,13,4,4,11700000,0.0,0,17,14.666666666666666,2.333333333333334,0.0,14000000.000000004,14000000.000000004,0,0,0,0.0
Ngày 30 (30/05),30.9,0.0,0.47,334.0,0,329.3,263.44,16,321.7,345.1,348.7,17,12,4,4,9000000,0.0,0,16,15.666666666666666,0.3333333333333339,0.0,2000000.0000000035,2000000.0000000035,0,0,0,0.0
Ngày 31 (31/05),32.1,0.0,0.48,288.5,0,353.7,282.96,17,279.6,310.3,313.2,15,10,3,3,9000000,0.0,4,17,16.333333333333332,0.6666666666666679,0.0,4000000.000000007,4000000.000000007,0,0,0,0.0
Ngày 32 (01/06),36.0,0.0,0.52,599.4,0,650.7,520.56,31,567.1,604.9,607.8,29,20,6,6,11700000,0.0,5,31,16.666666666666668,14.333333333333332,0.0,86000000.0,86000000.0,0,0,0,0.0
Ngày 33 (02/06),33.4,0.0,0.53,600.3,0,530.1,424.08,25,567.9,593.9,597.9,28,20,6,6,9000000,0.0,0,26,21.333333333333332,3.666666666666668,0.0,22000000.000000007,22000000.000000007,1,2700000,0,2700000.0
Ngày 34 (03/06),34.9,0.0,0.55,542.2,0,599.9,479.92,28,514.2,549.5,552.6,26,18,6,6,11700000,0.0,4,28,24.333333333333332,3.666666666666668,0.0,22000000.000000007,22000000.000000007,0,0,0,0.0
Ngày 35 (04/06),35.8,0.0,0.57,702.4,1,721.6,613.36,36,662.4,696.2,687.6,34,24,7,7,11700000,0.0,5,36,28.0,8.0,0.0,48000000.0,48000000.0,0,0,0,0.0
Ngày 36 (05/06),35.2,15.0,0.58,674.7,1,671.3,570.6,34,636.7,602.8,594.2,30,21,6,6,11700000,0.0,7,34,29.666666666666668,4.333333333333332,0.0,25999999.999999993,25999999.999999993,0,0,0,0.0
Ngày 37 (06/06),35.5,0.0,0.6,619.5,0,661.3,529.04,31,585.7,621.6,624.9,30,21,6,6,11700000,0.0,4,31,32.666666666666664,1.6666666666666643,4499999.9999999935,0.0,4499999.9999999935,0,0,0,0.0
Ngày 38 (07/06),33.5,0.0,0.62,576.7,0,639.8,511.84,30,546.1,574.7,578.6,27,19,6,6,9000000,0.0,5,30,33.666666666666664,3.6666666666666643,9899999.999999994,0.0,9899999.999999994,0,0,0,0.0
Ngày 39 (08/06),33.2,0.0,0.63,618.6,0,645.1,516.08,31,584.9,610.7,615.0,29,20,6,6,9000000,0.0,5,31,31.666666666666668,0.6666666666666679,1800000.0000000033,0.0,1800000.0000000033,0,0,0,0.0
Ngày 40 (09/06),35.9,0.0,0.65,612.3,0,702.7,562.16,33,579.0,617.7,620.9,29,20,6,6,11700000,0.0,7,33,30.666666666666668,2.333333333333332,0.0,13999999.999999993,13999999.999999993,0,0,0,0.0
Ngày 41 (10/06),37.7,0.0,0.67,628.4,0,754.5,603.6,36,593.9,640.6,643.0,30,21,6,6,11700000,0.0,9,36,31.333333333333332,4.666666666666668,0.0,28000000.000000007,28000000.000000007,0,0,0,0.0
Ngày 42 (11/06),38.0,25.0,0.68,682.1,1,389.2,330.82,20,643.6,579.5,569.7,29,20,6,0,11700000,28080000.000000004,0,20,33.333333333333336,13.333333333333336,36000000.00000001,0.0,36000000.00000001,0,0,0,28080000.000000004
Ngày 43 (12/06),36.1,0.0,0.7,789.0,1,791.2,672.52,40,742.4,776.3,768.2,38,27,8,8,11700000,0.0,5,40,29.666666666666668,10.333333333333332,0.0,61999999.99999999,61999999.99999999,0,0,0,0.0
Ngày 44 (13/06),34.7,0.0,0.72,683.4,0,652.3,521.84,31,644.8,676.4,680.4,32,22,7,7,11700000,0.0,2,31,32.0,1.0,2700000.0,0.0,2700000.0,0,0,0,0.0
Ngày 45 (14/06),37.8,0.0,0.73,710.8,0,735.9,588.72,35,670.1,715.1,718.0,34,24,7,7,11700000,0.0,4,35,30.333333333333332,4.666666666666668,0.0,28000000.000000007,28000000.000000007,0,0,0,0.0
Ngày 46 (15/06),34.3,0.0,0.75,741.0,0,691.6,553.28,33,698.0,726.2,730.7,34,24,7,7,11700000,0.0,2,33,35.333333333333336,2.3333333333333357,6300000.0000000065,0.0,6300000.0000000065,0,0,0,0.0
Ngày 47 (16/06),30.0,65.0,0.77,662.4,0,170.8,136.64,8,625.4,350.2,355.5,17,12,4,0,9000000,14400000.0,0,12,33.0,25.0,67500000.0,0.0,67500000.0,4,10800000,0,25200000.0
Ngày 48 (17/06),34.7,0.0,0.78,624.8,0,709.6,567.68,34,590.6,625.2,629.0,30,21,6,6,11700000,0.0,7,34,25.333333333333332,8.666666666666668,0.0,52000000.00000001,52000000.00000001,0,0,0,0.0
Ngày 49 (18/06),33.7,0.0,0.8,747.0,1,777.4,660.79,39,703.6,729.5,722.2,36,25,8,8,11700000,0.0,6,39,25.0,14.0,0.0,84000000.0,84000000.0,0,0,0,0.0
Ngày 50 (19/06),33.8,0.0,0.82,694.1,1,711.1,604.44,36,654.7,683.2,675.6,34,24,7,7,11700000,0.0,5,36,27.0,9.0,0.0,54000000.0,54000000.0,0,0,0,0.0
Ngày 51 (20/06),37.9,25.0,0.83,647.8,0,361.2,288.96,17,611.9,550.7,553.1,26,18,6,0,11700000,28080000.000000004,0,18,36.333333333333336,19.333333333333336,52200000.00000001,0.0,52200000.00000001,1,2700000,0,30780000.000000004
Ngày 52 (21/06),35.3,0.0,0.85,622.0,0,697.9,558.32,33,588.0,626.5,630.1,30,21,6,6,11700000,0.0,6,33,30.666666666666668,2.333333333333332,0.0,13999999.999999993,13999999.999999993,0,0,0,0.0
Ngày 53 (22/06),35.9,0.0,0.87,618.8,0,689.3,551.44,33,585.0,626.7,630.0,30,21,6,6,11700000,0.0,6,33,28.666666666666668,4.333333333333332,0.0,25999999.999999993,25999999.999999993,0,0,0,0.0
Ngày 54 (23/06),33.4,0.0,0.88,644.9,0,650.1,520.08,31,609.2,638.6,643.1,30,21,6,6,9000000,0.0,4,31,27.666666666666668,3.333333333333332,0.0,19999999.999999993,19999999.999999993,0,0,0,0.0
Ngày 55 (24/06),33.9,0.0,0.9,610.8,0,599.7,479.76,28,577.6,610.8,615.0,29,20,6,6,9000000,0.0,2,28,32.333333333333336,4.333333333333336,11700000.000000006,0.0,11700000.000000006,0,0,0,0.0
Ngày 56 (25/06),30.0,65.0,0.92,750.9,1,169.3,143.9,9,707.2,431.0,424.7,21,15,5,0,11700000,23400000.0,0,15,30.666666666666668,21.666666666666668,58500000.0,0.0,58500000.0,6,16200000,0,39600000.0
Ngày 57 (26/06),33.8,0.0,0.93,670.0,1,688.2,584.97,35,632.4,663.4,655.7,33,23,7,7,11700000,0.0,5,35,22.666666666666668,12.333333333333332,0.0,74000000.0,74000000.0,0,0,0,0.0
Ngày 58 (27/06),35.1,0.0,0.95,632.4,0,613.4,490.72,29,597.6,636.2,640.0,30,21,6,6,11700000,0.0,2,29,24.0,5.0,0.0,30000000.0,30000000.0,0,0,0,0.0
Ngày 59 (28/06),37.2,0.0,0.97,527.4,0,660.6,528.48,31,500.5,552.9,555.2,26,18,6,6,11700000,0.0,7,31,24.333333333333332,6.666666666666668,0.0,40000000.00000001,40000000.00000001,0,0,0,0.0
Ngày 60 (29/06),34.5,0.0,0.98,598.6,0,579.4,463.52,27,566.4,603.9,607.8,29,20,6,6,11700000,0.0,1,27,31.666666666666668,4.666666666666668,12600000.000000004,0.0,12600000.000000004,0,0,0,0.0
Ngày 61 (30/06),34.5,0.0,1.0,560.6,0,549.7,439.76,26,531.2,570.4,574.1,27,19,6,6,11700000,0.0,1,26,29.0,3.0,8100000.0,0.0,8100000.0,0,0,0,0.0
Ngày 62 (01/07),30.2,0.0,1.0,371.7,0,374.8,299.84,18,356.5,383.0,387.5,19,13,4,4,9000000,0.0,1,18,28.0,10.0,27000000.0,0.0,27000000.0,0,0,0,0.0
Ngày 63 (02/07),30.5,0.0,1.0,357.6,1,383.8,326.23,19,343.5,371.8,364.0,18,13,4,4,11700000,0.0,2,19,23.666666666666668,4.666666666666668,12600000.000000004,0.0,12600000.000000004,0,0,0,0.0
Ngày 64 (03/07),29.3,25.0,1.0,314.7,1,283.2,240.72,14,303.8,217.9,210.1,11,8,3,0,11700000,14040000.000000002,6,14,21.0,7.0,18900000.0,0.0,18900000.0,0,0,0,14040000.000000002
Ngày 65 (04/07),32.5,0.0,1.0,371.6,0,333.8,267.04,16,356.4,393.4,397.0,19,13,4,4,9000000,0.0,0,17,17.0,1.0,2700000.0,0.0,2700000.0,1,2700000,0,2700000.0
Ngày 66 (05/07),29.4,0.0,1.0,307.5,0,321.5,257.2,15,297.2,322.3,326.8,16,11,4,4,9000000,0.0,0,15,16.333333333333332,1.3333333333333321,3599999.9999999967,0.0,3599999.9999999967,0,0,0,0.0
Ngày 67 (06/07),27.5,75.0,1.0,339.7,0,146.3,117.04,7,326.9,11.3,16.1,1,1,0,0,9000000,0.0,6,7,15.0,8.0,21600000.0,0.0,21600000.0,0,0,0,0.0
Ngày 68 (07/07),28.1,0.0,1.0,245.3,0,277.4,221.92,13,239.6,261.1,265.8,13,9,3,3,9000000,0.0,1,13,12.666666666666666,0.3333333333333339,0.0,2000000.0000000035,2000000.0000000035,0,0,0,0.0
Ngày 69 (08/07),28.6,0.0,1.0,242.4,0,266.9,213.52,13,237.0,260.8,265.3,13,9,3,3,9000000,0.0,1,13,11.666666666666666,1.333333333333334,0.0,8000000.000000004,8000000.000000004,0,0,0,0.0
Ngày 70 (09/07),31.1,0.0,1.0,260.7,1,298.0,253.3,15,253.9,288.5,279.9,14,10,3,3,11700000,0.0,2,15,11.0,4.0,0.0,24000000.0,24000000.0,0,0,0,0.0
Ngày 71 (10/07),29.0,15.0,1.0,284.8,1,270.1,229.58,14,276.2,234.1,226.4,12,8,3,3,11700000,0.0,3,14,13.666666666666666,0.3333333333333339,0.0,2000000.0000000035,2000000.0000000035,0,0,0,0.0
Ngày 72 (11/07),32.2,0.0,1.0,235.6,0,235.9,188.72,11,230.7,271.2,274.2,13,9,3,3,9000000,0.0,0,12,14.0,3.0,8100000.0,0.0,8100000.0,1,2700000,0,2700000.0
Ngày 73 (12/07),29.1,0.0,1.0,215.4,0,223.7,178.96,11,212.0,239.1,243.3,12,8,3,3,9000000,0.0,0,11,13.333333333333334,2.333333333333334,6300000.000000002,0.0,6300000.000000002,0,0,0,0.0
Ngày 74 (13/07),31.1,0.0,1.0,199.4,0,203.3,162.64,10,197.2,234.0,237.3,12,8,3,3,9000000,0.0,0,11,12.0,2.0,5400000.0,0.0,5400000.0,1,2700000,0,2700000.0
Ngày 75 (14/07),27.5,60.0,1.0,202.3,0,86.9,69.52,5,199.9,-44.6,-40.4,-1,-1,0,0,9000000,0.0,6,5,10.666666666666666,5.666666666666666,15299999.999999998,0.0,15299999.999999998,0,0,0,0.0
Ngày 76 (15/07),29.2,0.0,1.0,179.2,0,180.8,144.64,9,178.5,207.4,211.3,10,7,2,2,9000000,0.0,0,9,8.666666666666666,0.3333333333333339,0.0,2000000.0000000035,2000000.0000000035,0,0,0,0.0
Ngày 77 (16/07),29.9,0.0,1.0,194.9,1,198.5,168.72,10,193.0,224.5,216.1,11,8,3,3,11700000,0.0,0,11,8.0,2.0,0.0,12000000.0,12000000.0,1,2700000,0,2700000.0
Ngày 78 (17/07),28.7,15.0,1.0,161.9,1,187.0,158.95,10,162.5,123.6,115.3,6,4,2,2,11700000,0.0,4,10,8.0,2.0,0.0,12000000.0,12000000.0,0,0,0,0.0
Ngày 79 (18/07),32.7,0.0,1.0,129.6,0,156.3,125.04,8,132.6,179.3,181.6,9,6,2,2,9000000,0.0,0,8,9.666666666666666,1.666666666666666,4499999.999999998,0.0,4499999.999999998,0,0,0,0.0
Ngày 80 (19/07),33.0,0.0,1.0,115.8,0,133.5,106.8,7,119.9,168.5,170.5,8,6,2,2,9000000,0.0,0,8,9.333333333333334,2.333333333333334,6300000.000000002,0.0,6300000.000000002,1,2700000,0,2700000.0
Ngày 81 (20/07),31.9,0.0,1.0,132.0,0,129.1,103.28,7,134.9,177.8,180.4,9,6,2,2,9000000,0.0,0,8,8.333333333333334,1.333333333333334,3600000.0000000014,0.0,3600000.0000000014,1,2700000,0,2700000.0
Ngày 82 (21/07),27.5,40.0,1.0,116.6,0,59.4,47.52,3,120.6,-32.5,-28.5,-1,-1,0,0,9000000,0.0,4,3,7.333333333333333,4.333333333333333,11700000.0,0.0,11700000.0,0,0,0,0.0
Ngày 83 (22/07),30.9,0.0,1.0,83.1,0,102.4,81.92,5,89.6,129.8,132.6,7,5,2,2,9000000,0.0,0,7,5.666666666666667,0.666666666666667,1800000.0000000007,0.0,1800000.0000000007,2,5400000,0,5400000.0
Ngày 84 (23/07),30.6,0.0,1.0,102.1,1,116.0,98.6,6,107.2,145.3,136.1,7,5,2,2,11700000,0.0,0,7,5.0,1.0,0.0,6000000.0,6000000.0,1,2700000,0,2700000.0
Ngày 85 (24/07),31.2,0.0,1.0,86.4,1,97.0,82.45,5,92.7,134.1,124.6,7,5,2,2,11700000,0.0,0,7,4.666666666666667,0.33333333333333304,0.0,1999999.9999999981,1999999.9999999981,2,5400000,0,5400000.0
Ngày 86 (25/07),30.2,25.0,1.0,60.2,0,42.4,33.92,2,68.5,-4.0,-1.3,0,0,0,0,9000000,0.0,2,2,5.333333333333333,3.333333333333333,9000000.0,0.0,9000000.0,0,0,0,0.0
Ngày 87 (26/07),30.1,0.0,1.0,44.2,0,55.5,44.4,3,53.7,91.6,94.5,5,4,1,1,9000000,0.0,0,5,4.333333333333333,1.333333333333333,3599999.999999999,0.0,3599999.999999999,2,5400000,0,5400000.0
Ngày 88 (27/07),28.0,0.0,1.0,43.6,0,34.1,27.28,2,53.1,81.5,85.2,4,3,1,1,9000000,0.0,0,4,3.3333333333333335,1.3333333333333335,3600000.0000000005,0.0,3600000.0000000005,2,5400000,0,5400000.0
Ngày 89 (28/07),27.5,40.0,1.0,28.4,0,24.5,19.6,2,39.1,-110.8,-107.3,-4,-3,0,0,9000000,0.0,5,2,2.3333333333333335,0.3333333333333335,900000.0000000003,0.0,900000.0000000003,0,0,0,0.0
Ngày 90 (29/07),29.6,0.0,1.0,23.4,0,23.1,18.48,2,34.4,70.8,73.8,4,3,1,1,9000000,0.0,0,4,2.3333333333333335,0.3333333333333335,900000.0000000003,0.0,900000.0000000003,2,5400000,0,5400000.0
Ngày 91 (30/07),31.6,0.0,1.0,38.6,1,15.0,12.75,1,48.5,93.5,83.5,5,4,1,1,11700000,0.0,0,5,2.0,1.0,2700000.0,0.0,2700000.0,4,10800000,0,10800000.0
Ngày 92 (31/07),29.8,0.0,1.0,30.6,1,15.0,12.75,1,41.1,78.1,68.9,4,3,1,1,11700000,0.0,0,4,1.6666666666666667,0.6666666666666667,1800000.0000000002,0.0,1800000.0000000002,3,8100000,0,8100000.0
